Brand,Store Name,Address,Latitude,Longitude
McDonald's,McDonald's Seri Austin DT,"Lot 132943, Persiaran Jaya Putra, Taman Seri Austin, 81100 Johor Bahru, Johor Darul Ta'zim",1.5790705,103.7501995
McDonald's,McDonald's Bertam DT,"Sebahagian Lot 20016, Mukim 06, 13200, Penang",5.5175853,100.4502722
McDonald's,McDonald's Tanjong Malim DT,"Lot 232, Jalan Tanjong Malim, Proton City, Mukim Hulu Bernam, Mukim, Proton City, 35900 Timor, Perak",3.6909145,101.5235354
McDonald's,McDonald's Sri Petaling,"No 63 & 63, 1, Jalan Radin Tengah, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.0688147,101.691739
McDonald's,McDonald's Taiping Lake Garden DT,"Lot 3410 (PT 1238), Jalan Sultan Mansor, Daerah, 34000 Taiping, Perak",4.8541158,100.745675
McDonald's,McDonald's,"No. 1, Block D, Plaza Mont Kiara, Jalan Bukit Kiara, Malaysia, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1657168,101.6522036
McDonald's,McDonald's Batu Pahat DT,"Lot PTD 48029, Jalan Tan Swee Hoe, Taman Flora Utama, 83000 Batu Pahat, Johor",1.8652148,102.9471591
McDonald's,McDonald's Central Square,"G16 - G19, Ground Floor, Kompleks Central Square, 23, Jalan Kampung Baru, 08000 Sungai Petani, Kedah",5.6364528,100.4880958
McDonald's,McDonald's,"2, Jalan 14/4, Seksyen 14, 46100 Petaling Jaya, Selangor",3.1096001,101.6369965
CU,CU Bandar Baru Kampar,"2246, Jalan Batu Sinar, Taman Bandar Baru, 31900 Kampar, Perak",4.325637299999999,101.1454753
CU,CU Greentown Ipoh,"Greentown, 31, Persiaran Greentown 7, Pusat Perdagangan Greentown, 30450 Ipoh, Perak",4.5992122,101.096172
CU,CU Desa Petaling,"43-G & 45-G, Jln 1/125d, Taman Desa Petaling, 57100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.0830798,101.7044454
